skill_score,cgpa_score,location_score,domain_score,cgpa_raw,num_skills,num_req_skills,min_cgpa_req,label
0.1443,0.7121,1.0,1.0,7.12,1,4,7.0,1
0.5738,0.2409,1.0,0.3,4.82,2,2,7.0,0
0.6134,0.6379,1.0,0.0,6.38,3,1,6.0,1
0.0962,0.3478,1.0,0.3,6.96,6,3,7.5,0
0.5345,0.254,1.0,0.6,5.08,1,3,7.0,1
0.6316,0.3043,1.0,0.3,6.09,6,1,7.5,1
0.6666,0.6887,0.0,1.0,6.89,7,5,6.5,0
0.2523,0.2708,1.0,0.0,5.42,7,2,7.0,0
0.553,0.2322,0.5,0.0,4.64,6,3,6.0,0
0.4666,0.7212,1.0,0.6,7.21,1,5,5.5,1
0.5272,0.8473,0.5,0.3,8.47,4,3,5.5,1
0.3217,0.9602,0.0,0.3,9.6,6,5,7.5,0
0.2835,0.2241,1.0,0.0,4.48,7,5,6.5,0
0.3467,0.2513,1.0,0.6,5.03,6,1,6.5,0
0.7326,0.7179,1.0,1.0,7.18,2,5,5.5,1
0.7506,0.7294,0.0,0.0,7.29,5,2,6.0,0
0.0208,0.232,1.0,0.0,4.64,6,4,7.5,0
0.2963,0.2419,0.0,0.0,4.84,5,4,5.5,0
0.6812,0.89,1.0,0.6,8.9,5,1,6.5,1
0.3166,0.7745,1.0,0.3,7.75,6,3,6.5,0
0.3854,0.8732,0.0,1.0,8.73,1,5,5.5,0
0.6662,0.8928,0.5,1.0,8.93,5,4,7.0,1
0.7944,0.8164,1.0,1.0,8.16,2,3,7.0,1
0.3756,0.769,1.0,0.0,7.69,5,2,6.0,1
0.3937,0.8243,0.5,0.0,8.24,1,4,6.0,0
0.4701,0.2996,0.5,1.0,5.99,7,5,6.5,0
0.3701,0.9181,0.5,1.0,9.18,7,2,6.0,1
0.8644,0.2934,1.0,0.0,5.87,7,3,7.5,1
0.1488,0.85,1.0,0.3,8.5,3,5,6.5,1
0.3389,0.7207,0.0,0.0,7.21,2,3,5.5,0
0.6126,0.3226,0.5,0.6,6.45,2,5,7.0,0
0.0997,0.7417,0.0,0.0,7.42,1,4,6.5,0
0.4842,0.8009,0.0,0.0,8.01,6,2,7.5,0
0.4868,0.9356,0.0,0.3,9.36,4,3,7.5,0
0.5084,0.3308,1.0,1.0,6.62,3,4,7.0,1
0.757,0.6909,1.0,0.6,6.91,6,1,5.5,1
0.8117,0.2055,1.0,0.3,4.11,5,2,6.0,1
0.6141,0.2411,1.0,0.6,4.82,7,3,5.5,1
0.6243,0.7114,0.0,0.0,7.11,4,3,6.0,0
0.6785,0.8329,0.5,1.0,8.33,6,2,6.5,1
0.6438,0.9049,1.0,0.3,9.05,6,3,5.5,1
0.1304,0.813,1.0,1.0,8.13,1,3,6.0,1
0.825,0.9504,1.0,0.6,9.5,1,2,7.5,1
0.5704,0.8345,1.0,0.6,8.34,2,1,5.5,1
0.6859,0.7335,1.0,0.0,7.33,7,5,6.0,1
0.2859,0.6731,1.0,0.3,6.73,2,1,6.5,0
0.6217,0.6427,1.0,1.0,6.43,4,5,5.5,1
0.705,0.9942,1.0,1.0,9.94,7,5,6.5,1
0.8031,0.7765,1.0,0.6,7.77,7,1,7.0,1
0.21,0.2862,0.0,0.0,5.72,2,5,7.0,0
0.278,0.97,1.0,1.0,9.7,5,3,7.5,1
0.6051,0.2195,1.0,0.0,4.39,5,5,7.0,0
0.4356,0.8805,1.0,0.6,8.8,1,3,5.5,1
0.8736,0.937,1.0,0.3,9.37,2,3,7.5,1
0.4913,0.2261,1.0,0.6,4.52,7,3,7.0,0
0.8108,0.3485,1.0,0.6,6.97,3,2,7.5,1
0.4611,0.2736,0.5,0.3,5.47,3,1,6.5,0
0.6832,0.9768,0.0,0.3,9.77,3,2,5.5,1
0.6443,0.2019,1.0,0.6,4.04,6,3,7.5,1
0.2955,0.8566,0.5,0.6,8.57,1,2,6.0,1
0.3742,0.2202,0.0,0.0,4.4,6,1,6.0,0
0.8694,0.2197,0.0,0.0,4.39,6,3,5.5,0
0.6275,0.3581,0.0,0.0,7.16,5,3,7.5,0
0.1402,0.3297,1.0,0.3,6.59,7,5,7.5,0
0.4456,0.2639,1.0,0.6,5.28,1,4,5.5,0
0.5138,0.6722,1.0,0.3,6.72,4,3,6.0,1
0.5189,0.2677,0.0,1.0,5.35,7,5,7.0,0
0.4495,0.688,1.0,1.0,6.88,5,1,6.5,1
0.3048,0.2427,1.0,0.0,4.85,4,1,7.0,0
0.3103,0.2236,1.0,1.0,4.47,6,2,6.0,0
0.5703,0.2156,1.0,1.0,4.31,2,4,5.5,1
0.7623,0.7286,0.5,0.0,7.29,6,2,6.0,0
0.8121,0.6876,1.0,0.3,6.88,2,3,6.5,1
0.4199,0.8315,1.0,0.0,8.32,1,3,7.5,1
0.8152,0.8456,1.0,1.0,8.46,5,4,7.0,1
0.2616,0.3187,1.0,0.6,6.37,2,2,7.0,1
0.6271,0.9016,1.0,1.0,9.02,3,2,5.5,1
0.6167,0.9224,0.0,0.6,9.22,4,2,5.5,0
0.7223,0.7592,1.0,0.6,7.59,5,3,7.0,1
0.8481,0.7527,0.0,0.0,7.53,1,1,7.0,0
0.4429,0.8834,1.0,0.0,8.83,7,4,7.0,1
0.5278,0.2674,0.5,0.6,5.35,5,3,7.5,0
0.4439,0.7094,1.0,0.0,7.09,7,4,6.0,0
0.2695,0.2468,1.0,1.0,4.94,7,2,7.5,0
0.5031,0.8773,0.0,0.6,8.77,1,1,7.0,0
0.2915,0.2145,1.0,1.0,4.29,1,1,5.5,0
0.4392,0.9554,1.0,1.0,9.55,6,2,6.5,1
0.4466,0.2974,0.5,0.6,5.95,2,5,7.0,0
0.0276,0.2505,0.5,1.0,5.01,2,1,6.0,0
0.4113,0.3196,0.5,0.3,6.39,7,4,7.5,0
0.4805,0.3293,1.0,0.3,6.59,4,1,7.5,0
0.2196,0.7139,1.0,0.3,7.14,5,4,6.5,0
0.1769,0.2543,0.0,0.3,5.09,2,5,7.0,0
0.3549,0.7159,1.0,0.3,7.16,5,5,6.5,0
0.0782,0.6121,0.5,1.0,6.12,3,5,6.0,0
0.5732,0.3272,1.0,1.0,6.54,7,1,7.5,1
0.4437,0.3173,1.0,0.0,6.35,1,1,7.5,0
0.6579,0.9948,1.0,0.3,9.95,6,3,7.0,1
0.2225,0.6407,1.0,0.6,6.41,3,1,5.5,1
0.357,0.7557,0.5,0.3,7.56,6,4,6.5,0
0.6832,0.7374,1.0,1.0,7.37,5,5,7.0,1
0.5904,0.2903,0.0,1.0,5.81,3,5,7.0,0
0.5162,0.2279,1.0,0.6,4.56,7,1,6.0,0
0.6231,0.2717,0.5,0.6,5.43,3,3,5.5,0
0.637,0.9109,0.0,1.0,9.11,4,1,6.0,1
0.4948,0.6418,0.0,1.0,6.42,3,2,6.0,0
0.3988,0.7638,0.5,1.0,7.64,6,5,5.5,1
0.278,0.2698,1.0,0.6,5.4,4,4,7.5,0
0.013,0.2648,0.5,0.6,5.3,4,3,6.0,0
0.7995,0.2892,0.0,1.0,5.78,1,3,6.5,0
0.7709,0.2687,0.5,0.6,5.37,7,4,7.5,1
0.3152,0.2584,0.5,1.0,5.17,4,5,6.5,0
0.6812,0.8086,0.0,0.3,8.09,1,5,7.5,1
0.2961,0.9066,1.0,0.3,9.07,2,4,7.5,1
0.3803,0.9737,1.0,1.0,9.74,1,1,5.5,1
0.538,0.8687,0.5,0.6,8.69,3,2,7.0,1
0.3161,0.993,1.0,0.6,9.93,5,1,7.5,1
0.0427,0.9824,0.0,0.0,9.82,7,3,6.5,0
0.5721,0.2247,1.0,0.6,4.49,1,1,7.0,0
0.5048,0.687,0.0,0.6,6.87,2,5,6.0,0
0.6468,0.247,1.0,0.3,4.94,7,1,6.0,0
0.2,0.9322,1.0,1.0,9.32,3,2,7.5,1
0.2982,0.9052,0.0,0.6,9.05,3,3,7.0,0
0.45,0.3465,1.0,1.0,6.93,5,3,7.0,1
0.3809,0.2483,1.0,1.0,4.97,1,4,6.0,0
0.6552,0.8398,0.5,1.0,8.4,3,2,6.5,1
0.751,0.3104,1.0,0.3,6.21,3,3,6.5,1
0.5732,0.3238,0.0,0.3,6.48,2,4,7.5,0
0.379,0.2676,1.0,0.6,5.35,4,2,7.0,0
0.7212,0.8476,1.0,0.6,8.48,6,5,6.0,1
0.7107,0.2662,1.0,1.0,5.32,4,3,6.5,1
0.1275,0.8115,1.0,0.3,8.12,3,1,7.0,0
0.7542,0.8186,1.0,0.3,8.19,5,3,6.5,1
0.6937,0.24,1.0,1.0,4.8,6,2,7.0,1
0.6626,0.204,0.0,0.3,4.08,2,4,7.0,0
0.4412,0.5609,0.0,0.0,5.61,5,4,5.5,0
0.7528,0.9399,0.0,1.0,9.4,3,4,6.0,1
0.4884,0.9877,0.0,0.3,9.88,3,2,7.5,0
0.1729,0.3635,0.5,0.6,7.27,5,2,7.5,0
0.6647,0.3286,1.0,0.6,6.57,2,1,7.5,1
0.3029,0.8838,1.0,0.3,8.84,3,3,6.0,0
0.6102,0.2615,1.0,0.3,5.23,7,4,7.5,0
0.6631,0.2316,0.5,0.0,4.63,7,1,7.0,0
0.4967,0.8545,0.5,1.0,8.54,5,1,7.5,1
0.749,0.9143,0.0,0.6,9.14,3,2,6.5,1
0.5465,0.2939,1.0,0.3,5.88,1,4,6.5,1
0.2839,0.9982,0.0,0.0,9.98,7,3,6.0,0
0.7257,0.8389,0.0,1.0,8.39,4,5,7.5,1
0.4225,0.8916,0.0,0.0,8.92,4,2,7.0,0
0.1732,0.2574,1.0,0.6,5.15,1,1,6.5,0
0.2615,0.8118,1.0,1.0,8.12,7,1,7.0,1
0.5795,0.3081,0.5,0.6,6.16,3,1,7.5,1
0.4758,0.5562,0.0,0.0,5.56,6,3,5.5,0
0.3193,0.3238,0.0,1.0,6.48,4,1,6.5,0
0.7032,0.8524,1.0,0.6,8.52,4,4,5.5,1
0.2779,0.2655,0.0,0.3,5.31,5,4,7.5,0
0.1465,0.58,1.0,1.0,5.8,4,3,5.5,1
0.6146,0.2719,1.0,1.0,5.44,6,4,5.5,1
0.3412,0.2345,0.0,1.0,4.69,1,5,7.5,0
0.3517,0.2413,0.5,0.6,4.83,2,4,6.5,0
0.6303,0.2313,1.0,1.0,4.63,5,3,7.0,1
0.2582,0.5526,1.0,1.0,5.53,5,4,5.5,0
0.1676,0.3409,1.0,0.0,6.82,4,1,7.5,0
0.5982,0.7076,0.5,0.0,7.08,6,1,6.5,0
0.6064,0.6961,0.5,1.0,6.96,6,3,6.5,1
0.8289,0.2775,1.0,1.0,5.55,1,5,7.5,1
0.5453,0.277,0.5,0.3,5.54,6,1,7.0,0
0.8023,0.6129,1.0,0.3,6.13,7,5,6.0,1
0.4059,0.2362,1.0,0.0,4.72,5,3,6.0,0
0.2346,0.2131,0.0,0.6,4.26,6,1,7.5,0
0.6024,0.2233,1.0,0.3,4.47,5,2,5.5,0
0.9349,0.9338,0.0,0.3,9.34,3,1,6.0,1
0.2275,0.8571,1.0,0.3,8.57,3,5,7.0,0
0.7801,0.9083,1.0,0.0,9.08,4,4,6.0,1
0.429,0.2627,0.5,0.3,5.25,3,2,6.5,0
0.2749,0.3124,1.0,0.6,6.25,7,4,6.5,0
0.2278,0.8641,1.0,0.6,8.64,5,1,7.5,1
0.2688,0.2584,0.0,1.0,5.17,5,4,5.5,0
0.7879,0.8901,1.0,1.0,8.9,3,5,7.0,1
0.6136,0.2118,1.0,0.0,4.24,5,4,5.5,0
0.0763,0.8475,1.0,0.6,8.48,5,1,7.0,0
0.3047,0.2907,0.0,1.0,5.81,6,3,7.0,0
0.0861,0.8587,0.5,1.0,8.59,7,5,7.0,0
0.8236,0.2936,1.0,0.6,5.87,3,5,6.5,1
0.3634,0.8155,0.5,1.0,8.16,6,5,6.0,1
0.563,0.8427,0.0,0.0,8.43,5,1,5.5,0
0.6137,0.2313,0.5,0.0,4.63,2,4,5.5,0
0.8932,0.7004,0.0,1.0,7.0,4,4,6.0,1
0.5951,0.2457,1.0,1.0,4.91,6,5,6.5,1
0.434,0.8319,1.0,0.0,8.32,2,4,6.0,1
0.2716,0.7315,1.0,0.3,7.32,5,3,7.0,0
0.5389,0.8492,1.0,0.0,8.49,7,1,5.5,1
0.4775,0.3081,1.0,0.6,6.16,1,3,6.5,1
0.866,0.2348,1.0,1.0,4.7,5,1,6.0,1
0.5432,0.2835,1.0,0.3,5.67,1,4,6.5,0
0.4087,0.9741,0.5,0.3,9.74,1,3,7.0,0
0.4243,0.8933,1.0,1.0,8.93,1,1,6.0,1
0.4823,0.9585,0.5,0.6,9.58,2,3,7.0,1
0.2224,0.6207,1.0,0.0,6.21,1,2,5.5,0
0.5898,0.9693,0.5,0.6,9.69,1,3,6.5,1
0.5488,0.8065,0.0,0.3,8.07,7,4,7.0,0
0.3602,0.3103,0.5,1.0,6.21,6,5,7.5,0
0.3669,0.729,0.0,1.0,7.29,7,3,7.0,0
0.2397,0.2197,1.0,0.6,4.39,5,2,5.5,0
0.3691,0.7184,1.0,0.0,7.18,2,3,7.0,0
0.4851,0.8688,1.0,0.6,8.69,3,3,7.5,1
0.7775,0.3012,1.0,0.6,6.02,1,1,7.0,1
0.1753,0.2906,1.0,1.0,5.81,7,5,6.0,0
0.2009,0.9184,1.0,0.0,9.18,5,3,7.0,1
0.0362,0.7819,1.0,0.3,7.82,3,2,7.0,0
0.1688,0.9717,1.0,1.0,9.72,7,5,6.0,1
0.3545,0.9012,1.0,0.3,9.01,5,4,7.0,1
0.4234,0.2286,0.5,1.0,4.57,3,1,7.5,0
0.4093,0.6889,1.0,1.0,6.89,4,4,6.5,1
0.4103,0.7384,1.0,1.0,7.38,2,4,6.5,1
0.5499,0.2445,0.5,1.0,4.89,1,5,7.5,0
0.4713,0.6581,1.0,1.0,6.58,5,5,6.0,1
0.5413,0.7563,0.5,0.3,7.56,6,1,7.0,1
0.4668,0.7094,0.0,0.6,7.09,7,5,5.5,0
0.5807,0.9838,0.0,0.0,9.84,5,4,7.5,0
0.8235,0.6536,1.0,1.0,6.54,6,5,6.0,1
0.6801,0.8525,0.0,0.3,8.53,6,5,7.5,0
0.8703,0.6891,1.0,0.0,6.89,4,4,5.5,1
0.4607,0.6693,1.0,0.0,6.69,7,3,6.0,0
0.2698,0.2427,1.0,1.0,4.85,4,5,7.0,1
0.5956,0.2489,0.0,1.0,4.98,2,1,7.0,0
0.2311,0.7279,1.0,1.0,7.28,3,5,5.5,1
0.6893,0.2395,1.0,0.6,4.79,1,4,6.0,1
0.2903,0.9612,1.0,0.3,9.61,7,3,6.0,0
0.3131,0.3292,0.0,1.0,6.58,6,5,7.0,0
0.8469,0.3122,1.0,1.0,6.24,1,5,7.0,1
0.5017,0.2976,0.0,0.6,5.95,1,1,6.0,0
0.715,0.2569,0.5,0.3,5.14,1,1,7.0,0
0.7927,0.7941,0.0,1.0,7.94,3,3,6.0,1
0.7018,0.2802,0.5,0.6,5.6,6,3,6.0,0
0.3714,0.2006,0.0,0.0,4.01,1,3,7.0,0
0.5366,0.8207,1.0,0.3,8.21,5,4,5.5,1
0.6101,0.7703,1.0,0.3,7.7,2,2,5.5,1
0.4935,0.9978,1.0,0.3,9.98,1,3,7.0,1
0.464,0.2643,0.0,0.6,5.29,3,2,7.5,0
0.5886,0.9031,0.0,1.0,9.03,4,3,6.5,1
0.5968,0.8798,1.0,1.0,8.8,4,4,5.5,1
0.5687,0.9002,0.0,1.0,9.0,2,4,7.0,1
0.3705,0.7541,0.0,0.3,7.54,3,4,7.5,0
0.5915,0.7099,1.0,1.0,7.1,2,4,5.5,1
0.5356,0.275,0.5,0.3,5.5,7,1,6.0,0
0.2862,0.298,0.0,0.3,5.96,1,2,6.0,0
0.3932,0.9306,0.5,0.0,9.31,7,3,7.0,0
0.03,0.3468,1.0,1.0,6.94,1,5,7.5,0
0.5166,0.2667,0.5,0.0,5.33,2,4,5.5,0
0.1205,0.9917,0.5,0.6,9.92,7,1,5.5,0
0.3352,0.9223,1.0,0.6,9.22,5,5,6.0,1
0.2259,0.8589,1.0,0.6,8.59,7,2,6.5,0
0.5815,0.7771,1.0,0.6,7.77,4,1,6.0,1
0.3903,0.2857,1.0,1.0,5.71,3,3,7.5,1
0.3586,0.261,1.0,1.0,5.22,7,1,7.0,1
0.2826,0.2695,0.5,0.3,5.39,3,2,7.5,0
0.5922,0.794,1.0,1.0,7.94,3,3,6.5,1
0.3004,0.7486,1.0,1.0,7.49,2,2,5.5,1
0.2507,0.8454,0.5,0.0,8.45,1,4,7.0,0
0.0812,0.725,0.5,1.0,7.25,4,2,6.0,0
0.192,0.9212,0.0,0.0,9.21,4,3,6.0,0
0.7556,0.5632,1.0,0.6,5.63,7,3,5.5,1
0.4508,0.7572,1.0,1.0,7.57,7,5,6.0,1
0.1432,0.2779,1.0,0.6,5.56,5,3,7.5,0
0.2268,0.8417,1.0,0.3,8.42,6,2,7.5,1
0.5237,0.2724,1.0,1.0,5.45,5,1,7.5,1
0.4693,0.2047,0.0,1.0,4.09,1,4,6.0,0
0.6345,0.3743,0.5,1.0,7.49,5,3,7.5,1
0.8467,0.3026,0.5,0.6,6.05,7,3,7.5,1
0.2973,0.9695,1.0,0.3,9.7,2,3,7.5,1
0.7687,0.7892,1.0,1.0,7.89,6,3,6.0,1
0.068,0.8112,1.0,1.0,8.11,7,3,5.5,1
0.4085,0.2461,1.0,0.6,4.92,1,2,7.5,0
0.4341,0.2254,0.0,1.0,4.51,4,3,7.0,0
0.7595,0.9983,1.0,0.6,9.98,5,2,7.0,1
0.6153,0.8016,0.0,0.3,8.02,6,5,6.0,0
0.5106,0.2303,1.0,1.0,4.61,7,5,7.0,1
0.5159,0.2062,0.5,0.6,4.12,7,4,6.0,0
0.7099,0.9188,1.0,1.0,9.19,7,3,6.0,1
0.1908,0.5642,1.0,0.0,5.64,1,2,5.5,0
0.7978,0.8662,1.0,1.0,8.66,7,5,6.0,1
0.7882,0.6899,1.0,0.6,6.9,4,1,6.5,1
0.7751,0.9709,1.0,0.6,9.71,6,3,7.5,1
0.5877,0.2838,0.0,0.0,5.68,5,3,7.0,0
0.6065,0.2429,1.0,0.3,4.86,2,3,6.5,1
0.6184,0.7534,1.0,1.0,7.53,5,5,7.0,1
0.171,0.2281,0.0,0.3,4.56,2,3,6.0,0
0.2611,0.8563,1.0,1.0,8.56,6,2,6.0,1
0.6885,0.8577,1.0,0.6,8.58,3,4,5.5,1
0.9276,0.957,1.0,0.3,9.57,4,3,5.5,1
0.6158,0.9534,1.0,0.3,9.53,1,3,7.0,1
0.6668,0.7395,1.0,0.6,7.39,6,5,6.0,1
0.9032,0.2881,1.0,0.6,5.76,7,4,6.5,1
0.1865,0.6102,1.0,0.0,6.1,3,4,5.5,0
0.8869,0.6657,1.0,0.6,6.66,2,2,5.5,1
0.5322,0.272,0.5,0.6,5.44,7,5,7.0,0
0.2716,0.7467,1.0,0.0,7.47,5,3,6.5,0
0.8009,0.9308,0.5,0.6,9.31,4,4,7.0,1
0.826,0.8986,1.0,0.3,8.99,6,5,7.5,1
0.5871,0.235,0.0,0.3,4.7,6,1,7.5,0
0.5117,0.7363,1.0,0.0,7.36,1,3,7.0,1
0.3046,0.7952,1.0,1.0,7.95,4,4,7.0,1
0.6927,0.2095,0.0,0.0,4.19,5,2,6.0,0
0.1295,0.7466,0.0,1.0,7.47,5,1,6.0,0
0.2091,0.9008,0.0,0.3,9.01,6,3,7.5,0
0.5381,0.9595,1.0,0.6,9.6,6,2,7.5,1
0.178,0.9827,0.0,0.3,9.83,1,5,5.5,0
0.4229,0.2694,1.0,0.6,5.39,2,4,6.5,0
0.5224,0.8055,1.0,0.0,8.05,7,4,7.5,1
0.3199,0.2287,0.5,1.0,4.57,7,1,6.5,0
0.5001,0.2274,1.0,0.3,4.55,2,5,6.0,0
0.253,0.6603,1.0,0.3,6.6,1,5,6.0,1
0.3333,0.5946,0.5,0.6,5.95,1,3,5.5,0
0.4225,0.9942,0.0,0.6,9.94,1,4,6.5,0
0.4413,0.9502,0.0,0.6,9.5,4,2,5.5,0
0.6925,0.205,0.0,0.3,4.1,4,2,6.5,0
0.5812,0.5666,0.0,0.0,5.67,2,2,5.5,0
0.3007,0.8724,0.5,1.0,8.72,4,4,6.0,1
0.6409,0.3124,1.0,1.0,6.25,4,5,7.0,1
0.676,0.9224,1.0,1.0,9.22,7,5,6.0,1
0.2395,0.2626,1.0,1.0,5.25,3,4,7.5,0
0.7736,0.7509,0.0,0.6,7.51,7,2,6.5,0
0.5455,0.3234,0.0,0.6,6.47,7,1,7.0,0
0.5242,0.2105,1.0,0.0,4.21,2,5,7.0,0
0.4198,0.2868,0.5,0.6,5.74,2,3,7.5,0
0.6499,0.8135,1.0,0.0,8.13,3,5,5.5,1
0.7494,0.2309,1.0,1.0,4.62,3,2,6.0,1
0.3875,0.7452,1.0,0.3,7.45,6,4,7.0,1
0.8443,0.218,1.0,0.0,4.36,6,1,7.5,1
0.8946,0.6792,0.0,0.0,6.79,2,1,5.5,0
0.9701,0.7983,1.0,0.0,7.98,5,4,6.0,1
0.9461,0.8801,1.0,1.0,8.8,4,4,6.0,1
0.7355,0.2761,1.0,0.3,5.52,3,3,7.5,0
0.3973,0.9024,1.0,0.6,9.02,7,4,7.5,1
0.6773,0.2896,1.0,0.3,5.79,1,5,6.5,0
0.565,0.7394,0.5,0.6,7.39,5,1,5.5,1
0.6964,0.2243,0.0,1.0,4.49,5,2,6.5,0
0.877,0.9157,1.0,0.0,9.16,3,1,7.5,1
0.506,0.7,0.0,0.0,7.0,5,3,6.5,0
0.9006,0.2377,0.5,0.6,4.75,2,3,6.0,1
0.7202,0.7827,0.5,0.6,7.83,3,2,6.5,1
0.8969,0.7499,1.0,1.0,7.5,7,5,6.5,1
0.6161,0.9545,1.0,0.3,9.54,1,5,7.5,1
0.8063,0.9608,1.0,1.0,9.61,7,2,7.5,1
0.5661,0.7949,0.5,0.0,7.95,3,4,5.5,1
0.3603,0.7889,1.0,0.0,7.89,2,1,5.5,0
0.4516,0.238,0.0,0.6,4.76,4,2,7.5,0
0.3882,0.2886,1.0,1.0,5.77,3,3,7.0,1
0.4247,0.7574,0.5,0.6,7.57,7,2,5.5,0
0.779,0.2921,1.0,0.3,5.84,1,2,7.5,1
0.6297,0.9974,0.0,1.0,9.97,2,1,5.5,1
0.7065,0.3701,1.0,0.3,7.4,7,2,7.5,0
0.6065,0.6655,0.5,0.0,6.66,7,2,6.5,0
0.3396,0.6797,1.0,0.6,6.8,5,3,5.5,1
0.8339,0.2179,1.0,0.3,4.36,2,5,7.5,1
0.6482,0.2607,0.5,0.6,5.21,6,4,6.5,0
0.7407,0.2186,1.0,0.3,4.37,7,5,7.5,1
0.5142,0.6707,0.0,0.0,6.71,3,1,6.0,0
0.7311,0.9937,0.0,0.3,9.94,3,1,7.5,1
0.4661,0.3246,0.0,1.0,6.49,4,1,7.0,0
0.4212,0.3471,0.0,1.0,6.94,1,4,7.5,0
0.0515,0.5684,1.0,0.3,5.68,7,3,5.5,0
0.824,0.205,1.0,0.6,4.1,2,4,6.5,1
0.493,0.8152,0.5,0.6,8.15,7,3,6.0,1
0.3437,0.9964,0.5,0.0,9.96,7,5,7.0,0
0.4022,0.7534,1.0,0.0,7.53,3,2,7.5,0
0.5654,0.2076,0.0,0.6,4.15,7,2,6.0,0
0.19,0.2392,0.0,0.6,4.78,7,4,5.5,0
0.1155,0.2857,1.0,0.0,5.71,3,2,7.5,0
0.6958,0.7128,0.0,1.0,7.13,4,1,5.5,1
0.3869,0.8499,0.5,0.0,8.5,1,1,6.5,0
0.2189,0.7538,1.0,1.0,7.54,3,2,5.5,1
0.0721,0.5761,1.0,1.0,5.76,7,3,5.5,0
0.5067,0.8416,1.0,0.0,8.42,7,1,7.5,1
0.3652,0.9155,0.0,1.0,9.15,4,5,7.5,1
0.2487,0.8691,0.5,0.0,8.69,7,2,5.5,0
0.2556,0.3101,1.0,1.0,6.2,2,3,6.5,0
0.4453,0.9456,0.5,1.0,9.46,7,1,7.0,1
0.4039,0.9419,1.0,0.6,9.42,2,4,6.5,1
0.4528,0.9471,0.5,0.0,9.47,7,5,6.0,0
0.7302,0.2531,1.0,0.3,5.06,6,3,7.5,1
0.1775,0.823,1.0,0.3,8.23,3,3,7.0,1
0.4251,0.8923,0.0,1.0,8.92,5,1,6.0,0
0.2918,0.8256,1.0,0.0,8.26,4,5,6.5,0
0.8048,0.2213,1.0,0.3,4.43,7,2,6.5,1
